avg(c),avg(k1),avg(k2),avg(k3),avg(k4),avg(m_gm),avg(m_c_i4),avg(m_c_i6),Time
0.0228,0.132,3.45,0.132,3.45,1,1,1,0
0.0139203,0.132,3.45,0.132,3.45,1,1,1,1
0.00849891,0.126584,3.30449,0.120686,3.15222,1,1.0012,1.00067,2
0.00518893,0.11692,3.04448,0.104694,2.73065,1,1.00377,1.00224,3
0.00316805,0.104231,2.70272,0.0880089,2.29043,1,1.00806,1.0052,4
0.00193422,0.0898238,2.31455,0.0742152,1.92616,1,1.0147,1.01036,5
0.00118092,0.0751093,1.91818,0.0649572,1.68125,1,1.02459,1.01888,6
0.000720999,0.0614828,1.55144,0.0600225,1.55024,1,1.03893,1.03215,7
0.000440199,0.0497301,1.23578,0.0586616,1.51362,1,1.05934,1.05177,8
0.000268759,0.0401895,0.980452,0.0589817,1.52165,1,1.08806,1.07963,9
0.000164088,0.0327754,0.783387,0.0612033,1.58004,1,1.12839,1.11813,10
0.000100183,0.0272288,0.637836,0.0648618,1.67621,1,1.18551,1.17038,11
6.11655e-005,0.0228716,0.526361,0.0665334,1.71902,1,1.26948,1.24171,12
3.7344e-005,0.0195412,0.442477,0.0633475,1.63255,1,1.40208,1.34234,13
2.28e-005,0.0172695,0.384174,0.0556532,1.42582,1,1.60148,1.48279,14
2.28e-005,0.0160082,0.348759,0.051292,1.30557,1,1.8572,1.6662,15
2.28e-005,0.0151108,0.321854,0.0504033,1.27657,1,2.13099,1.87077,16
2.28e-005,0.0144938,0.301239,0.0510566,1.28777,1,2.40511,2.0892,17
2.28e-005,0.0141482,0.287888,0.0531087,1.33586,1,2.66223,2.31166,18
2.28e-005,0.0141057,0.282728,0.0562166,1.41214,1,2.8993,2.53288,19
2.28e-005,0.0139748,0.275806,0.0581408,1.45739,1,3.11421,2.75034,20
2.28e-005,0.0139539,0.271922,0.0593469,1.48423,1,3.30476,2.95336,21
2.28e-005,0.0139944,0.270216,0.0603313,1.50592,1,3.47014,3.1269,22
2.28e-005,0.0141236,0.271091,0.0616547,1.53786,1,3.6137,3.27415,23
2.28e-005,0.0143501,0.2749,0.0630612,1.57269,1,3.73836,3.39843,24
2.28e-005,0.0143594,0.273528,0.0638005,1.59073,1,3.84704,3.50325,25
2.28e-005,0.0143927,0.272986,0.0641147,1.5979,1,3.94234,3.59315,26
2.28e-005,0.0144516,0.273225,0.0650345,1.62149,1,4.02635,3.67198,27
2.28e-005,0.0145312,0.274254,0.0652277,1.62579,1,4.09964,3.73936,28
2.28e-005,0.0146394,0.276255,0.0668113,1.66706,1,4.16298,3.7975,29
2.28e-005,0.0147831,0.279426,0.0674489,1.6833,1,4.21727,3.84812,30
2.28e-005,0.0149861,0.284294,0.0690411,1.7251,1,4.26378,3.89189,31
2.28e-005,0.0152771,0.29173,0.0694427,1.73529,1,4.30287,3.92828,32
2.28e-005,0.0157237,0.303546,0.0701146,1.75276,1,4.3358,3.95825,33
2.28e-005,0.0159033,0.308736,0.0700637,1.75115,1,4.36343,3.98232,34
2.28e-005,0.0164976,0.325742,0.070019,1.74981,1,4.38675,4.00157,35
2.28e-005,0.0168817,0.337102,0.0700176,1.7497,1,4.40629,4.01674,36
2.28e-005,0.0174882,0.354909,0.07,1.74919,1,4.42293,4.02869,37
2.28e-005,0.0174418,0.354485,0.0700359,1.75016,1,4.43716,4.03781,38
2.28e-005,0.0174009,0.354115,0.070063,1.75093,1,4.44938,4.04482,39
2.28e-005,0.017364,0.353782,0.0703155,1.75776,1,4.45981,4.04997,40
2.28e-005,0.0173301,0.353479,0.0707719,1.77009,1,4.46834,4.05287,41
2.28e-005,0.0172987,0.353205,0.0712094,1.78192,1,4.47511,4.05348,42
2.28e-005,0.0172696,0.352952,0.072394,1.81372,1,4.48059,4.05246,43
2.28e-005,0.0172428,0.352716,0.073818,1.85194,1,4.48518,4.05045,44
2.28e-005,0.0172181,0.352494,0.0748548,1.87986,1,4.48919,4.04792,45
2.28e-005,0.0175109,0.361123,0.0749337,1.88214,1,4.49275,4.04514,46
2.28e-005,0.0174887,0.360924,0.0749752,1.88343,1,4.49592,4.04205,47
2.28e-005,0.0174686,0.360737,0.0762665,1.9182,1,4.49885,4.03904,48
2.28e-005,0.0174503,0.360564,0.0763166,1.91972,1,4.50154,4.03616,49
2.28e-005,0.0174336,0.360402,0.0763794,1.92157,1,4.50406,4.03346,50
2.28e-005,0.0174184,0.36025,0.076449,1.92358,1,4.50642,4.03095,51
2.28e-005,0.0174045,0.360108,0.0765279,1.92584,1,4.50863,4.02863,52
2.28e-005,0.0173919,0.359974,0.0766163,1.92833,1,4.51071,4.02652,53
2.28e-005,0.0173803,0.359849,0.0767138,1.93107,1,4.51267,4.02462,54
2.28e-005,0.0173698,0.359731,0.0784222,1.97696,1,4.51452,4.02292,55
